id_nasabah,nama,pekerjaan,pendapatan,saldo_tab,saldo_giro,saldo_deposito,kol_1,kol_2,kol_3,kol_4,kol_5,kolslik1,kolslik2,kolslik3,kolslik4,kolslik5,frekdhn,jml_agunan,total_agunan,atm_trx,atm_nom,mobile_trx,mobile_nom,internet_trx,internet_nom,edc_trx,edc_nom,rtgs_trx,rtgs_nom,sknbi_trx,sknbi_nom,bifast_trx,bifast_nom,qris_trx,qris_nom,listrik,pdam,pbb,pkb,postpaid,pulsa,paytv,asuransi,senti_neg,senti_positif,senti_netral,jml_like_1,jml_like_2,jml_like_3,jml_like_4,jml_like_5,jml_like_6,jml_like_7,jml_like_8,jml_like_9,jml_like_10,label
74,MCCrQ,PNS (TERMASUK PENSIUNAN ),5,1850000,3680000,40000,6,3,3,0,0,6,3,2,1,0,12,12,900000000,1433,560788920,454,1817430673,1261,2399857689,813,1738736747,1100,1556393512,1821,1115877373,2348,1546488601,2092,2149619601,300000,800000,100000,800000,1000000,300000,0,100000,77,21,89,13,19,54,14,5,52,15,58,91,83,Moderate
75,jYSnE,PELAJAR/MAHASISWA,6,4350000,2480000,7730000,0,0,0,0,0,0,0,0,0,0,2,17,200000000,1698,1888072691,413,907331007,236,1147046665,1650,1018653842,214,509628378,90,1249181313,1958,1092343377,1834,1694983498,0,0,600000,1000000,900000,200000,700000,100000,46,52,97,16,2,68,33,35,13,43,98,1,13,Not Potential
76,Qpsqw,PEDAGANG,3,1460000,1150000,1460000,7,3,2,0,0,6,3,3,0,0,7,0,700000000,1266,1570359901,1156,278901603,2081,436965589,1601,2531383775,1651,563935501,2293,1262596399,197,171020886,2285,2667956713,100000,800000,300000,100000,800000,500000,700000,700000,51,61,8,40,100,89,28,58,75,98,7,59,65,Moderate
77,XWLnj,PENGAJAR & DOSEN,2,4770000,2290000,3880000,0,0,0,0,0,0,0,0,0,0,3,8,400000000,1412,1572712543,1665,2382699717,517,2951783372,1275,1460279403,389,1259393823,1515,1336984314,319,893192629,1014,1239982802,800000,500000,1000000,200000,900000,400000,100000,400000,61,53,11,75,58,89,22,21,50,93,49,46,73,Not Potential
78,Ksldy,LAIN-LAIN,6,990000,2790000,1800000,7,4,1,0,0,7,3,2,0,0,12,4,400000000,65,1878545313,689,308988490,141,257271137,72,2483253218,1884,500792329,1465,1041929456,1012,1733555818,1185,1030209023,600000,500000,200000,0,200000,900000,300000,200000,28,50,61,25,38,60,56,36,27,0,32,20,42,Moderate
79,wPfUr,PERUSAHAAN SWASTA,4,3390000,150000,6600000,0,0,0,0,0,0,0,0,0,0,12,14,0,190,2112010893,210,992465802,1378,1449895962,2211,2824068619,247,2630122672,1654,1913815508,989,319855574,289,1753696193,600000,1000000,0,400000,0,600000,400000,200000,42,9,28,1,63,14,38,68,57,81,21,35,25,Not Potential
80,vjYPC,LAIN-LAIN,3,380000,2350000,6730000,6,3,3,0,0,5,4,3,0,0,5,20,500000000,2196,718311627,2341,2030021291,1599,459870387,2500,1405855775,1445,1789956100,735,2570494407,94,944413293,2245,864397342,500000,700000,400000,1000000,200000,900000,100000,800000,17,91,17,34,48,67,11,49,13,64,16,89,7,Moderate
81,Klvbt,PEDAGANG,7,2620000,2280000,1890000,5,4,3,0,0,8,3,1,0,0,6,9,900000000,1933,284348293,1243,2193584146,728,1245524707,1452,2748668643,663,1622294913,1296,1623496788,2462,851461880,802,804111184,1000000,0,100000,800000,700000,200000,200000,0,87,54,91,61,4,47,14,99,97,83,79,83,80,Moderate
82,dPegC,PENGRAJIN,3,1570000,2900000,2270000,11,1,0,0,0,4,4,4,0,0,8,1,500000000,2262,1684235496,1068,1907525076,1375,2427777976,309,2587790570,2421,1947167461,1350,2611654735,1324,424527908,622,710747712,900000,500000,0,600000,200000,800000,200000,600000,36,66,66,26,55,14,65,41,60,10,13,74,41,Moderate
83,KQDlv,PETANI & NELAYAN,6,4730000,2420000,6180000,0,0,0,0,0,0,0,0,0,0,5,14,1300000000,1336,2712225126,2368,1141766746,1777,1305124165,1579,2583707978,1079,1441935593,2040,2616527934,1325,763217672,1365,834649425,900000,600000,800000,400000,200000,100000,0,400000,62,39,29,92,46,76,60,15,16,55,33,95,96,Not Potential
84,HrWHW,PENGRAJIN,3,200000,1760000,3460000,6,3,3,0,0,5,5,2,0,0,8,3,400000000,27,2236561088,2245,2171897460,2231,1099777298,1362,2120469849,957,1839246204,17,2180481751,2194,251421411,445,2214847494,800000,500000,1000000,0,800000,300000,700000,100000,84,34,18,26,60,39,66,70,98,75,45,40,39,Moderate
85,SZmxz,ULAMA/PENDETA/PIM.ORG/KL.AGAMA,3,2680000,2940000,3860000,5,4,3,0,0,5,4,3,0,0,5,1,1400000000,1144,2794202957,310,2883601747,890,2026429476,228,598018486,338,1649668076,2074,170003578,86,617490092,1070,1210376206,700000,500000,900000,600000,500000,200000,200000,200000,36,86,39,24,75,98,67,16,5,55,20,18,65,Moderate
86,ftVNf,PENGRAJIN,3,1200000,3460000,8920000,6,6,0,0,0,9,3,0,0,0,5,5,700000000,697,1989622274,1638,218359383,717,1501698832,1964,2959043960,1618,2434733591,683,2405514170,1733,2464993582,476,2811612735,600000,0,700000,600000,1000000,1000000,700000,500000,25,12,96,7,28,56,49,67,11,11,38,8,41,Moderate
87,mkRRB,PENGURUS/PEG.YYS/LEMBAGA LAIN.,4,2570000,2670000,1580000,6,3,2,1,0,8,2,2,0,0,0,6,1200000000,592,1181131586,2035,1847554443,948,1953411777,1952,1282028269,1320,173393593,306,2913415657,2283,2416975295,528,1008029041,700000,1000000,700000,0,800000,200000,200000,1000000,55,43,74,9,43,22,74,72,47,73,85,42,90,Moderate
88,DSMbX,TNI/POLRI (TERMASUK PENSIUNAN),4,3600000,3860000,1510000,0,0,0,0,0,0,0,0,0,0,4,20,1100000000,1647,2215893907,1968,2055091245,1987,2338082580,446,1746494155,1723,1723233952,1295,2739967515,1203,552079717,337,212984353,500000,0,0,400000,100000,600000,600000,300000,70,93,44,19,76,35,69,23,74,4,47,38,61,Not Potential
89,kYlGZ,JAKSA AGUNG,7,2280000,570000,710000,6,4,2,0,0,8,3,1,0,0,9,1,400000000,140,1191827302,628,915707406,2227,1627687731,239,1602423832,828,2686367356,781,1389285931,964,1749251004,1592,1855507376,0,700000,300000,400000,900000,100000,500000,900000,58,22,64,10,4,55,41,37,80,37,32,55,53,Moderate
90,duzHM,PERUSAHAAN PEMERINTAH,4,3320000,0,1540000,0,0,0,0,0,0,0,0,0,0,2,4,900000000,943,1903962803,722,2695473769,292,1167534424,2033,351197719,1514,2504577126,1895,1395954008,1587,1442999317,1667,1184219318,500000,900000,100000,1000000,600000,200000,100000,700000,21,30,15,4,57,58,96,75,5,41,30,46,40,Not Potential
91,QiMOp,PERUSAHAAN SWASTA,6,920000,1180000,6440000,7,3,2,0,0,7,4,1,0,0,9,4,400000000,502,1699915753,1138,122221748,526,548365790,1490,2006985910,549,2003091178,2273,1932463715,2449,2083767769,394,866901220,900000,700000,500000,900000,1000000,300000,600000,900000,15,16,36,43,98,0,93,75,23,87,75,59,86,Moderate
92,CvaXz,PROFESIONAL & KONSULTAN,2,4540000,2330000,3790000,0,0,0,0,0,0,0,0,0,0,6,13,600000000,780,1089115559,1700,1578722902,1275,1981486828,1660,76901681,1751,668764645,508,2647684126,453,2981419681,926,285829119,1000000,300000,600000,900000,700000,0,800000,0,38,62,88,93,17,1,19,13,45,33,80,75,99,Not Potential
93,CrSQH,PNS (TERMASUK PENSIUNAN ),1,500000,3430000,7680000,5,5,2,0,0,7,2,2,1,0,2,10,1200000000,1018,288163048,569,821888058,1771,1769525007,759,1955518533,132,2620144479,734,2988904588,2496,2950447520,903,81942428,200000,700000,400000,700000,700000,300000,0,200000,54,96,85,60,52,64,44,33,13,12,95,30,76,Moderate
94,zRJLo,PENYELENGGARA NEGARA ASING,2,160000,2310000,910000,3,3,3,2,1,8,3,1,0,0,12,11,1800000000,356,273473239,271,1917068355,517,847520859,971,462455068,1854,569213652,1511,2583587385,2500,1456151458,870,462636159,200000,400000,100000,100000,600000,200000,0,500000,16,72,76,64,64,92,59,7,41,91,50,13,35,Moderate
95,PSLda,PENGRAJIN,6,1770000,3290000,6320000,6,3,3,0,0,6,3,2,1,0,0,17,1700000000,2212,1049800776,1320,1264527013,1017,69631769,2166,2206904779,383,458139800,1822,1785066645,1493,2795693014,1088,825211688,700000,200000,700000,200000,500000,100000,400000,900000,44,8,97,81,6,79,3,15,64,33,26,94,37,Moderate
96,YZiZO,PEGAWAI MONER CHANGER,6,1650000,3400000,1030000,6,5,1,0,0,7,3,2,0,0,7,2,500000000,1150,1166854179,1866,2475560584,18,432200597,11,971200372,991,1285782845,2449,23987215,1265,192822603,1797,802814589,600000,300000,200000,200000,400000,600000,1000000,100000,38,88,57,90,30,43,90,20,49,78,100,80,78,Moderate
97,ierow,PEGAWAI BI/BUMN/BUMD(PENSIUN),2,2110000,790000,2850000,6,4,2,0,0,5,4,3,0,0,9,11,200000000,168,2836463840,1491,11746059,1403,169433455,135,278272029,210,2365956112,576,1891276823,1219,1131330355,1458,1365232470,800000,600000,0,1000000,600000,200000,800000,800000,89,6,94,64,46,31,42,68,26,56,95,66,79,Moderate
98,UAlrL,PELAJAR/MAHASISWA,2,340000,2680000,5330000,7,5,0,0,0,6,4,1,1,0,4,6,1100000000,1794,2727461626,1414,2827479594,1171,2186918133,1078,59623735,1523,1577863242,2441,2204781646,730,179368278,865,2053437899,800000,600000,700000,400000,0,0,600000,100000,49,60,4,2,70,96,57,72,27,95,93,33,13,Moderate
99,zulRK,PNS (TERMASUK PENSIUNAN ),6,1400000,40000,190000,6,3,3,0,0,6,5,1,0,0,11,6,1200000000,724,399884033,365,1719963490,707,695866971,190,1701910710,2301,403630863,1531,2216944537,1136,69285333,15,191781751,400000,700000,600000,900000,1000000,600000,800000,0,10,16,0,6,71,63,53,67,54,5,13,52,3,Moderate
100,BXOrI,LAIN-LAIN,3,2350000,2810000,6660000,7,3,2,0,0,6,4,2,0,0,2,8,400000000,1118,615046265,267,2453279821,2117,2433698324,1370,854553185,1224,1205431677,745,529861247,596,2931191071,2364,1820211568,900000,500000,300000,300000,900000,800000,500000,0,70,19,67,11,70,70,62,31,25,77,9,85,40,Moderate
